region,lag,days_to_predict,train_last_date,avg_mae,avg_mse,mae_tot_pos,mse_tot_pos,mae_deaths,mse_deaths,mae_recovered,mse_recovered
Abruzzo,5,5,20200630,2.1186868686868685,177.0934343434343,3.4318181818181817,312.780303030303,0.05303030303030303,0.11363636363636365,2.871212121212121,218.38636363636363
Abruzzo,5,6,20200630,2.4837092731829578,204.09774436090228,4.06015037593985,367.33834586466173,0.08270676691729323,0.2330827067669173,3.3082706766917283,244.72180451127818
Abruzzo,5,7,20200630,2.855721393034825,232.9850746268657,4.731343283582089,430.53731343283584,0.11940298507462685,0.41791044776119396,3.7164179104477615,268.0
Abruzzo,5,8,20200630,3.224691358024691,262.483950617284,5.42962962962963,499.9481481481482,0.16296296296296298,0.6814814814814815,4.0814814814814815,286.8222222222222
Abruzzo,5,9,20200630,3.6151960784313726,296.67892156862746,6.191176470588236,583.6323529411766,0.21323529411764705,1.036764705882353,4.441176470588236,305.36764705882354
Abruzzo,5,10,20200630,4.00243309002433,330.9756690997567,6.9562043795620445,669.3065693430657,0.27007299270072993,1.4963503649635037,4.781021897810219,322.1240875912409
Abruzzo,5,11,20200630,4.376811594202898,364.84057971014505,7.731884057971015,758.6304347826087,0.3333333333333333,2.072463768115942,5.065217391304348,333.8188405797101
Abruzzo,5,12,20200630,4.750599520383691,400.63549160671465,8.53956834532374,856.7697841726617,0.4028776978417266,2.776978417266187,5.309352517985611,342.3597122302158
Abruzzo,5,13,20200630,5.109523809523809,436.47142857142853,9.357142857142858,958.7142857142856,0.4714285714285714,3.4714285714285715,5.5,347.22857142857146
Abruzzo,5,14,20200630,5.489361702127661,479.46572104018907,10.25531914893617,1083.0921985815603,0.5390070921985816,4.156028368794326,5.673758865248227,351.1489361702128
Abruzzo,5,15,20200630,5.962441314553991,544.5727699530515,11.345070422535212,1267.1901408450703,0.6056338028169014,4.830985915492958,5.936619718309859,361.69718309859155
Abruzzo,5,16,20200630,6.421911421911422,610.4778554778555,12.447552447552448,1458.055944055944,0.6783216783216783,5.643356643356643,6.13986013986014,367.73426573426576
Abruzzo,5,17,20200630,6.895833333333333,684.724537037037,13.618055555555555,1675.4375,0.75,6.444444444444445,6.319444444444445,372.2916666666667
Abruzzo,5,18,20200630,7.374712643678161,765.7517241379311,14.841379310344827,1915.4758620689656,0.8275862068965517,7.393103448275862,6.455172413793103,374.3862068965517
Abruzzo,5,19,20200630,7.863013698630136,855.0593607305937,16.123287671232877,2181.8356164383563,0.910958904109589,8.5,6.554794520547945,374.8424657534247
Abruzzo,5,20,20200630,8.353741496598639,952.0453514739228,17.45578231292517,2472.734693877551,1.0,9.775510204081632,6.605442176870748,373.6258503401361
Abruzzo,5,21,20200630,8.840090090090088,1053.2995495495495,18.81081081081081,2777.135135135135,1.0945945945945945,11.22972972972973,6.614864864864865,371.5337837837838
Abruzzo,5,22,20200630,9.346756152125279,1169.221476510067,20.25503355704698,3125.986577181208,1.1812080536912752,12.46979865771812,6.604026845637584,369.20805369127515
Abruzzo,5,23,20200630,9.884444444444446,1304.24,21.80666666666667,3531.8733333333334,1.28,14.093333333333334,6.566666666666666,366.75333333333333
Abruzzo,5,24,20200630,10.439293598233995,1444.4348785871964,23.37748344370861,3952.728476821192,1.390728476821192,16.14569536423841,6.549668874172186,364.43046357615896
Abruzzo,5,25,20200630,11.030701754385966,1600.5570175438597,25.026315789473685,4420.644736842105,1.513157894736842,18.67105263157895,6.552631578947368,362.35526315789474
Abruzzo,5,26,20200630,11.66013071895425,1772.1699346405228,26.745098039215687,4933.869281045751,1.6470588235294117,21.712418300653596,6.588235294117647,360.9281045751634
Abruzzo,5,27,20200630,12.337662337662337,1960.3679653679653,28.532467532467532,5494.064935064935,1.7922077922077921,25.31168831168831,6.688311688311688,361.72727272727275
Abruzzo,5,28,20200630,13.04516129032258,2163.905376344086,30.38064516129032,6098.7806451612905,1.9419354838709677,29.18064516129032,6.812903225806451,363.7548387096774
Abruzzo,5,29,20200630,13.7991452991453,2395.9444444444443,32.34615384615385,6787.692307692308,2.0961538461538463,33.32692307692308,6.955128205128205,366.81410256410254
Abruzzo,5,30,20200630,14.596602972399149,2646.9872611464966,34.37579617834395,7529.178343949045,2.261146496815287,38.10828025477707,7.1528662420382165,373.6751592356688
